"Time of Day","Process Name","PID","Operation","Path","Result","Detail","Duration"
"13:12:59,8926456","main.exe","816","RegOpenKey","HKLM\System\CurrentControlSet\Control\SafeBoot\Option","NAME NOT FOUND","Desired Access: Query Value, Set Value","0.0000031"
"13:12:59,8926527","main.exe","816","RegOpenKey","HKLM\System\CurrentControlSet\Control\Srp\GP\DLL","REPARSE","Desired Access: Read","0.0000021"
"13:12:59,8926578","main.exe","816","RegOpenKey","HKLM\System\CurrentControlSet\Control\Srp\GP\DLL","NAME NOT FOUND","Desired Access: Read","0.0000025"
"13:12:59,8926639","main.exe","816","RegOpenKey","HKLM\Software\Policies\Microsoft\Windows\Safer\CodeIdentifiers","SUCCESS","Desired Access: Query Value","0.0000059"
"13:12:59,8926736","main.exe","816","RegQueryValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers\TransparentEnabled","NAME NOT FOUND","Length: 80","0.0000021"
"13:12:59,8926815","main.exe","816","RegCloseKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers","SUCCESS","","0.0000014"
"13:12:59,8926931","main.exe","816","RegOpenKey","HKCU\Software\Policies\Microsoft\Windows\Safer\CodeIdentifiers","NAME NOT FOUND","Desired Access: Query Value","0.0000049"
"13:12:59,8927077","main.exe","816","RegOpenKey","HKLM\System\CurrentControlSet\Control\FileSystem\","REPARSE","Desired Access: Read","0.0000022"
"13:12:59,8927136","main.exe","816","RegOpenKey","HKLM\System\CurrentControlSet\Control\FileSystem","SUCCESS","Desired Access: Read","0.0000024"
"13:12:59,8927200","main.exe","816","RegQueryValue","HKLM\System\CurrentControlSet\Control\FileSystem\LongPathsEnabled","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1","0.0000030"
"13:12:59,8927276","main.exe","816","RegCloseKey","HKLM\System\CurrentControlSet\Control\FileSystem","SUCCESS","","0.0000010"
"13:12:59,8927406","main.exe","816","RegOpenKey","HKLM\System\CurrentControlSet\Control\FileSystem\","REPARSE","Desired Access: Read","0.0000022"
"13:12:59,8927465","main.exe","816","RegOpenKey","HKLM\System\CurrentControlSet\Control\FileSystem","SUCCESS","Desired Access: Read","0.0000018"
"13:12:59,8927537","main.exe","816","RegQueryValue","HKLM\System\CurrentControlSet\Control\FileSystem\LPGO","NAME NOT FOUND","Length: 20","0.0000021"
"13:12:59,8927601","main.exe","816","RegCloseKey","HKLM\System\CurrentControlSet\Control\FileSystem","SUCCESS","","0.0000010"
"13:12:59,8928242","main.exe","816","Thread Create","","SUCCESS","Thread ID: 15496","0.0000000"
"13:12:59,8928966","main.exe","816","Thread Create","","SUCCESS","Thread ID: 15492","0.0000000"
"13:12:59,8929141","main.exe","816","RegQueryValue","HKLM\System\CurrentControlSet\Control\Notifications\418A073AA3BC8075","BUFFER TOO SMALL","Length: 0","0.0000306"
"13:12:59,8929264","main.exe","816","Load Image","C:\Windows\System32\ucrtbase.dll","SUCCESS","Image Base: 0x7ffece720000, Image Size: 0x100000","0.0000000"
"13:12:59,8929530","main.exe","816","RegQueryValue","HKLM\System\CurrentControlSet\Control\Notifications\418A073AA3BC8075","SUCCESS","Type: REG_BINARY, Length: 364, Data: 01 00 04 80 00 00 00 00 00 00 00 00 00 00 00 00","0.0000245"
"13:12:59,8929860","main.exe","816","RegQueryValue","HKLM\System\CurrentControlSet\Control\Notifications\418A073AA3BC8075","BUFFER TOO SMALL","Length: 0","0.0000233"
"13:12:59,8929995","main.exe","816","Thread Create","","SUCCESS","Thread ID: 15488","0.0000000"
"13:12:59,8930137","main.exe","816","RegQueryValue","HKLM\System\CurrentControlSet\Control\Notifications\418A073AA3BC8075","SUCCESS","Type: REG_BINARY, Length: 364, Data: 01 00 04 80 00 00 00 00 00 00 00 00 00 00 00 00","0.0000231"
"13:12:59,8930458","main.exe","816","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value","0.0000043"
"13:12:59,8930543","main.exe","816","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value","0.0000035"
"13:12:59,8930624","main.exe","816","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\SafeDllSearchMode","NAME NOT FOUND","Length: 16","0.0000020"
"13:12:59,8931506","main.exe","816","QueryOpen","D:\Documents\C++\os_labs\1\src\build\libgcc_s_seh-1.dll","NAME NOT FOUND","","0.0000094"
"13:12:59,8932096","main.exe","816","QueryOpen","D:\Documents\C++\os_labs\1\src\build\libstdc++-6.dll","NAME NOT FOUND","","0.0000088"
"13:12:59,8952463","main.exe","816","CreateFile","C:\Windows\System32\libgcc_s_seh-1.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a","0.0000454"
"13:12:59,8952641","main.exe","816","CreateFile","C:\Windows\System32\libstdc++-6.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a","0.0000236"
"13:12:59,8957918","main.exe","816","CreateFile","C:\Windows\System\libstdc++-6.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a","0.0000138"
"13:12:59,8957974","main.exe","816","CreateFile","C:\Windows\System\libgcc_s_seh-1.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a","0.0000144"
"13:12:59,8965604","main.exe","816","CreateFile","C:\Windows\libstdc++-6.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a","0.0000165"
"13:12:59,8965981","main.exe","816","CreateFile","C:\Windows\libgcc_s_seh-1.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a","0.0000189"
"13:12:59,8967617","main.exe","816","QueryOpen","D:\Documents\C++\os_labs\1\src\build\libstdc++-6.dll","NAME NOT FOUND","","0.0000324"
"13:12:59,8968476","main.exe","816","QueryOpen","D:\Documents\C++\os_labs\1\src\build\libgcc_s_seh-1.dll","NAME NOT FOUND","","0.0000084"
"13:12:59,8970756","main.exe","816","CreateFile","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5\bin\libstdc++-6.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a","0.0000166"
"13:12:59,8971567","main.exe","816","CreateFile","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5\bin\libgcc_s_seh-1.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a","0.0000147"
"13:12:59,8975070","main.exe","816","CreateFile","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5\libnvvp\libstdc++-6.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a","0.0000136"
"13:12:59,8975904","main.exe","816","CreateFile","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5\libnvvp\libgcc_s_seh-1.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a","0.0000133"
"13:12:59,8977108","main.exe","816","CreateFile","C:\Program Files\Python310\Scripts\libstdc++-6.dll","PATH NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a","0.0001026"
"13:12:59,8979030","main.exe","816","CreateFile","C:\Program Files\Python310\Scripts\libgcc_s_seh-1.dll","PATH NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a","0.0000143"
"13:12:59,8979963","main.exe","816","CreateFile","C:\Program Files\Python310\libstdc++-6.dll","PATH NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a","0.0000121"
"13:12:59,8980406","main.exe","816","CreateFile","C:\Program Files\Python310\libgcc_s_seh-1.dll","PATH NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a","0.0000117"
"13:12:59,8986318","main.exe","816","CreateFile","C:\Program Files (x86)\Common Files\Intel\Shared Libraries\redist\intel64_win\compiler\libstdc++-6.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a","0.0000166"
"13:12:59,8986958","main.exe","816","CreateFile","C:\Program Files (x86)\Common Files\Intel\Shared Libraries\redist\intel64_win\compiler\libgcc_s_seh-1.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a","0.0000169"
"13:12:59,8991878","main.exe","816","CreateFile","C:\Program Files (x86)\Razer Chroma SDK\bin\libstdc++-6.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a","0.0000156"
"13:12:59,8992601","main.exe","816","CreateFile","C:\Program Files (x86)\Razer Chroma SDK\bin\libgcc_s_seh-1.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a","0.0000138"
"13:12:59,8996964","main.exe","816","CreateFile","C:\Program Files\Razer Chroma SDK\bin\libstdc++-6.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a","0.0000346"
"13:12:59,8998310","main.exe","816","CreateFile","C:\Program Files\Razer Chroma SDK\bin\libgcc_s_seh-1.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a","0.0000180"
"13:12:59,9000763","main.exe","816","CreateFile","C:\Program Files (x86)\Common Files\Oracle\Java\javapath_target_4367281\libstdc++-6.dll","REPARSE","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: <unknown>","0.0000144"
"13:12:59,9004242","main.exe","816","CreateFile","C:\Program Files (x86)\Common Files\Oracle\Java\javapath_target_4367281\libstdc++-6.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a","0.0000150"
"13:12:59,9004650","main.exe","816","CreateFile","C:\Program Files (x86)\Common Files\Oracle\Java\javapath_target_4367281\libgcc_s_seh-1.dll","REPARSE","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: <unknown>","0.0000161"
"13:12:59,9005964","main.exe","816","CreateFile","C:\ProgramData\Oracle\Java\javapath\libstdc++-6.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a","0.0000114"
"13:12:59,9006405","main.exe","816","CreateFile","C:\Program Files (x86)\Common Files\Oracle\Java\javapath_target_4367281\libgcc_s_seh-1.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a","0.0000128"
"13:12:59,9007758","main.exe","816","CreateFile","C:\Program Files (x86)\Razer\ChromaBroadcast\bin\libstdc++-6.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a","0.0000202"
"13:12:59,9008256","main.exe","816","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value, Enumerate Sub Keys","0.0000092"
"13:12:59,9008437","main.exe","816","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value, Enumerate Sub Keys","0.0000051"
"13:12:59,9008472","main.exe","816","CreateFile","C:\ProgramData\Oracle\Java\javapath\libgcc_s_seh-1.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a","0.0000112"
"13:12:59,9008556","main.exe","816","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\ResourcePolicies","NAME NOT FOUND","Length: 24","0.0000037"
"13:12:59,9008656","main.exe","816","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","","0.0000011"
"13:12:59,9011617","main.exe","816","CreateFile","C:\Program Files\Razer\ChromaBroadcast\bin\libstdc++-6.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a","0.0000178"
"13:12:59,9011677","main.exe","816","CreateFile","C:\Program Files (x86)\Razer\ChromaBroadcast\bin\libgcc_s_seh-1.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a","0.0000151"
"13:12:59,9013506","main.exe","816","CreateFile","C:\Windows\System32\libstdc++-6.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a","0.0000164"
"13:12:59,9013620","main.exe","816","CreateFile","C:\Program Files\Razer\ChromaBroadcast\bin\libgcc_s_seh-1.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a","0.0000206"
"13:12:59,9015448","main.exe","816","CreateFile","C:\Windows\libstdc++-6.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a","0.0000147"
"13:12:59,9015511","main.exe","816","CreateFile","C:\Windows\System32\libgcc_s_seh-1.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a","0.0000154"
"13:12:59,9017121","main.exe","816","CreateFile","C:\Windows\System32\wbem\libstdc++-6.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a","0.0000153"
"13:12:59,9017233","main.exe","816","CreateFile","C:\Windows\libgcc_s_seh-1.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a","0.0000226"
"13:12:59,9019043","main.exe","816","CreateFile","C:\Windows\System32\WindowsPowerShell\v1.0\libstdc++-6.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a","0.0000127"
"13:12:59,9019597","main.exe","816","CreateFile","C:\Windows\System32\wbem\libgcc_s_seh-1.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a","0.0000152"
"13:12:59,9020932","main.exe","816","CreateFile","C:\Windows\System32\OpenSSH\libstdc++-6.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a","0.0000162"
"13:12:59,9021279","main.exe","816","CreateFile","C:\Windows\System32\WindowsPowerShell\v1.0\libgcc_s_seh-1.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a","0.0000126"
"13:12:59,9022845","main.exe","816","CreateFile","C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common\libstdc++-6.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a","0.0000161"
"13:12:59,9023194","main.exe","816","CreateFile","C:\Windows\System32\OpenSSH\libgcc_s_seh-1.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a","0.0000162"
"13:12:59,9024131","main.exe","816","CreateFile","C:\Windows\system32\config\systemprofile\AppData\Local\Microsoft\WindowsApps\libstdc++-6.dll","PATH NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a","0.0000174"
"13:12:59,9025121","main.exe","816","CreateFile","C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common\libgcc_s_seh-1.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a","0.0000157"
"13:12:59,9025909","main.exe","816","CreateFile","C:\Windows\System32\libstdc++-6.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a","0.0000135"
"13:12:59,9026420","main.exe","816","CreateFile","C:\Windows\system32\config\systemprofile\AppData\Local\Microsoft\WindowsApps\libgcc_s_seh-1.dll","PATH NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a","0.0000152"
